Yellow,Kiiro-i,
Bright,Akaru-i,
Blue,Ao-i,Ao no pen / Ao-i pen. Ai sora / Aozora -> blue sky
Green,Midori,Midori no pen
White,Shiro-i,Shiro no pen / Shiro-i pen
Dark,Kura-i,
Black,Kuro-i,
Pink,Pinko,
Brown,Chairoi,(tea color)
Red,Aka,
Black and white,Shiro-kuro (noun),
